Wed Aug  6 16:54:52 2014  Debug: Handle  0xa40398  params  0x0 
Wed Aug  6 16:54:52 2014  Debug: free pcm storage 
Wed Aug  6 16:54:52 2014  Debug: .. empty 
Wed Aug  6 16:54:52 2014  Debug: loading  "/home/asve/dev/rinf-gui/voice/ru/1.wav" 
Wed Aug  6 16:54:52 2014  Debug: Header  44 bytes 
Wed Aug  6 16:54:52 2014  Debug: ... "1"  complete 
Wed Aug  6 16:54:52 2014  Debug: loading  "/home/asve/dev/rinf-gui/voice/ru/10.wav" 
Wed Aug  6 16:54:52 2014  Debug: Header  44 bytes 
Wed Aug  6 16:54:52 2014  Debug: ... "10"  complete 
Wed Aug  6 16:54:52 2014  Debug: loading  "/home/asve/dev/rinf-gui/voice/ru/100.wav" 
Wed Aug  6 16:54:52 2014  Debug: Header  44 bytes 
Wed Aug  6 16:54:52 2014  Debug: ... "100"  complete 
Wed Aug  6 16:54:52 2014  Debug: loading  "/home/asve/dev/rinf-gui/voice/ru/11.wav" 
Wed Aug  6 16:54:52 2014  Debug: Header  44 bytes 
Wed Aug  6 16:54:52 2014  Debug: ... "11"  complete 
Wed Aug  6 16:54:52 2014  Debug: loading  "/home/asve/dev/rinf-gui/voice/ru/12.wav" 
Wed Aug  6 16:54:52 2014  Debug: Header  44 bytes 
Wed Aug  6 16:54:52 2014  Debug: ... "12"  complete 
Wed Aug  6 16:54:52 2014  Debug: loading  "/home/asve/dev/rinf-gui/voice/ru/13.wav" 
Wed Aug  6 16:54:52 2014  Debug: Header  44 bytes 
Wed Aug  6 16:54:52 2014  Debug: ... "13"  complete 
Wed Aug  6 16:54:52 2014  Debug: loading  "/home/asve/dev/rinf-gui/voice/ru/14.wav" 
Wed Aug  6 16:54:52 2014  Debug: Header  44 bytes 
Wed Aug  6 16:54:52 2014  Debug: ... "14"  complete 
Wed Aug  6 16:54:52 2014  Debug: loading  "/home/asve/dev/rinf-gui/voice/ru/15.wav" 
Wed Aug  6 16:54:52 2014  Debug: Header  44 bytes 
Wed Aug  6 16:54:52 2014  Debug: ... "15"  complete 
Wed Aug  6 16:54:52 2014  Debug: loading  "/home/asve/dev/rinf-gui/voice/ru/16.wav" 
Wed Aug  6 16:54:52 2014  Debug: Header  44 bytes 
Wed Aug  6 16:54:53 2014  Debug: ... "16"  complete 
Wed Aug  6 16:54:53 2014  Debug: loading  "/home/asve/dev/rinf-gui/voice/ru/17.wav" 
Wed Aug  6 16:54:53 2014  Debug: Header  44 bytes 
Wed Aug  6 16:54:53 2014  Debug: ... "17"  complete 
Wed Aug  6 16:54:53 2014  Debug: loading  "/home/asve/dev/rinf-gui/voice/ru/18.wav" 
Wed Aug  6 16:54:53 2014  Debug: Header  44 bytes 
Wed Aug  6 16:54:53 2014  Debug: ... "18"  complete 
Wed Aug  6 16:54:53 2014  Debug: loading  "/home/asve/dev/rinf-gui/voice/ru/19.wav" 
Wed Aug  6 16:54:53 2014  Debug: Header  44 bytes 
Wed Aug  6 16:54:53 2014  Debug: ... "19"  complete 
Wed Aug  6 16:54:53 2014  Debug: loading  "/home/asve/dev/rinf-gui/voice/ru/2.wav" 
Wed Aug  6 16:54:53 2014  Debug: Header  44 bytes 
Wed Aug  6 16:54:53 2014  Debug: ... "2"  complete 
Wed Aug  6 16:54:53 2014  Debug: loading  "/home/asve/dev/rinf-gui/voice/ru/20.wav" 
Wed Aug  6 16:54:53 2014  Debug: Header  44 bytes 
Wed Aug  6 16:54:53 2014  Debug: ... "20"  complete 
Wed Aug  6 16:54:53 2014  Debug: loading  "/home/asve/dev/rinf-gui/voice/ru/200.wav" 
Wed Aug  6 16:54:53 2014  Debug: Header  44 bytes 
Wed Aug  6 16:54:53 2014  Debug: ... "200"  complete 
Wed Aug  6 16:54:53 2014  Debug: loading  "/home/asve/dev/rinf-gui/voice/ru/3.wav" 
Wed Aug  6 16:54:53 2014  Debug: Header  44 bytes 
Wed Aug  6 16:54:53 2014  Debug: ... "3"  complete 
Wed Aug  6 16:54:53 2014  Debug: loading  "/home/asve/dev/rinf-gui/voice/ru/30.wav" 
Wed Aug  6 16:54:53 2014  Debug: Header  44 bytes 
Wed Aug  6 16:54:53 2014  Debug: ... "30"  complete 
Wed Aug  6 16:54:53 2014  Debug: loading  "/home/asve/dev/rinf-gui/voice/ru/300.wav" 
Wed Aug  6 16:54:53 2014  Debug: Header  44 bytes 
Wed Aug  6 16:54:53 2014  Debug: ... "300"  complete 
Wed Aug  6 16:54:53 2014  Debug: loading  "/home/asve/dev/rinf-gui/voice/ru/4.wav" 
Wed Aug  6 16:54:53 2014  Debug: Header  44 bytes 
Wed Aug  6 16:54:53 2014  Debug: ... "4"  complete 
Wed Aug  6 16:54:53 2014  Debug: loading  "/home/asve/dev/rinf-gui/voice/ru/40.wav" 
Wed Aug  6 16:54:53 2014  Debug: Header  44 bytes 
Wed Aug  6 16:54:53 2014  Debug: ... "40"  complete 
Wed Aug  6 16:54:53 2014  Debug: loading  "/home/asve/dev/rinf-gui/voice/ru/400.wav" 
Wed Aug  6 16:54:53 2014  Debug: Header  44 bytes 
Wed Aug  6 16:54:53 2014  Debug: ... "400"  complete 
Wed Aug  6 16:54:53 2014  Debug: loading  "/home/asve/dev/rinf-gui/voice/ru/5.wav" 
Wed Aug  6 16:54:53 2014  Debug: Header  44 bytes 
Wed Aug  6 16:54:53 2014  Debug: ... "5"  complete 
Wed Aug  6 16:54:53 2014  Debug: loading  "/home/asve/dev/rinf-gui/voice/ru/50.wav" 
Wed Aug  6 16:54:53 2014  Debug: Header  44 bytes 
Wed Aug  6 16:54:53 2014  Debug: ... "50"  complete 
Wed Aug  6 16:54:53 2014  Debug: loading  "/home/asve/dev/rinf-gui/voice/ru/500.wav" 
Wed Aug  6 16:54:53 2014  Debug: Header  44 bytes 
Wed Aug  6 16:54:53 2014  Debug: ... "500"  complete 
Wed Aug  6 16:54:53 2014  Debug: loading  "/home/asve/dev/rinf-gui/voice/ru/6.wav" 
Wed Aug  6 16:54:53 2014  Debug: Header  44 bytes 
Wed Aug  6 16:54:53 2014  Debug: ... "6"  complete 
Wed Aug  6 16:54:53 2014  Debug: loading  "/home/asve/dev/rinf-gui/voice/ru/60.wav" 
Wed Aug  6 16:54:53 2014  Debug: Header  44 bytes 
Wed Aug  6 16:54:53 2014  Debug: ... "60"  complete 
Wed Aug  6 16:54:53 2014  Debug: loading  "/home/asve/dev/rinf-gui/voice/ru/600.wav" 
Wed Aug  6 16:54:53 2014  Debug: Header  44 bytes 
Wed Aug  6 16:54:53 2014  Debug: ... "600"  complete 
Wed Aug  6 16:54:53 2014  Debug: loading  "/home/asve/dev/rinf-gui/voice/ru/7.wav" 
Wed Aug  6 16:54:53 2014  Debug: Header  44 bytes 
Wed Aug  6 16:54:53 2014  Debug: ... "7"  complete 
Wed Aug  6 16:54:53 2014  Debug: loading  "/home/asve/dev/rinf-gui/voice/ru/70.wav" 
Wed Aug  6 16:54:53 2014  Debug: Header  44 bytes 
Wed Aug  6 16:54:53 2014  Debug: ... "70"  complete 
Wed Aug  6 16:54:53 2014  Debug: loading  "/home/asve/dev/rinf-gui/voice/ru/700.wav" 
Wed Aug  6 16:54:53 2014  Debug: Header  44 bytes 
Wed Aug  6 16:54:53 2014  Debug: ... "700"  complete 
Wed Aug  6 16:54:53 2014  Debug: loading  "/home/asve/dev/rinf-gui/voice/ru/8.wav" 
Wed Aug  6 16:54:53 2014  Debug: Header  44 bytes 
Wed Aug  6 16:54:53 2014  Debug: ... "8"  complete 
Wed Aug  6 16:54:53 2014  Debug: loading  "/home/asve/dev/rinf-gui/voice/ru/80.wav" 
Wed Aug  6 16:54:53 2014  Debug: Header  44 bytes 
Wed Aug  6 16:54:53 2014  Debug: ... "80"  complete 
Wed Aug  6 16:54:53 2014  Debug: loading  "/home/asve/dev/rinf-gui/voice/ru/800.wav" 
Wed Aug  6 16:54:53 2014  Debug: Header  44 bytes 
Wed Aug  6 16:54:53 2014  Debug: ... "800"  complete 
Wed Aug  6 16:54:53 2014  Debug: loading  "/home/asve/dev/rinf-gui/voice/ru/9.wav" 
Wed Aug  6 16:54:53 2014  Debug: Header  44 bytes 
Wed Aug  6 16:54:53 2014  Debug: ... "9"  complete 
Wed Aug  6 16:54:53 2014  Debug: loading  "/home/asve/dev/rinf-gui/voice/ru/90.wav" 
Wed Aug  6 16:54:53 2014  Debug: Header  44 bytes 
Wed Aug  6 16:54:53 2014  Debug: ... "90"  complete 
Wed Aug  6 16:54:53 2014  Debug: loading  "/home/asve/dev/rinf-gui/voice/ru/900.wav" 
Wed Aug  6 16:54:53 2014  Debug: Header  44 bytes 
Wed Aug  6 16:54:54 2014  Debug: ... "900"  complete 
Wed Aug  6 16:54:54 2014  Debug: loading  "/home/asve/dev/rinf-gui/voice/ru/before_speed_cam.wav" 
Wed Aug  6 16:54:54 2014  Debug: Header  44 bytes 
Wed Aug  6 16:54:54 2014  Debug: ... "before_speed_cam"  complete 
Wed Aug  6 16:54:54 2014  Debug: loading  "/home/asve/dev/rinf-gui/voice/ru/before_speed_cam2.wav" 
Wed Aug  6 16:54:54 2014  Debug: Header  44 bytes 
Wed Aug  6 16:54:54 2014  Debug: ... "before_speed_cam2"  complete 
Wed Aug  6 16:54:54 2014  Debug: loading  "/home/asve/dev/rinf-gui/voice/ru/cam_in_traffic_lights.wav" 
Wed Aug  6 16:54:54 2014  Debug: Header  44 bytes 
Wed Aug  6 16:54:54 2014  Debug: ... "cam_in_traffic_lights"  complete 
Wed Aug  6 16:54:54 2014  Debug: loading  "/home/asve/dev/rinf-gui/voice/ru/cam_notify_off.wav" 
Wed Aug  6 16:54:54 2014  Debug: Header  44 bytes 
Wed Aug  6 16:54:54 2014  Debug: ... "cam_notify_off"  complete 
Wed Aug  6 16:54:54 2014  Debug: loading  "/home/asve/dev/rinf-gui/voice/ru/cam_notify_on.wav" 
Wed Aug  6 16:54:54 2014  Debug: Header  44 bytes 
Wed Aug  6 16:54:54 2014  Debug: ... "cam_notify_on"  complete 
Wed Aug  6 16:54:54 2014  Debug: loading  "/home/asve/dev/rinf-gui/voice/ru/distance.wav" 
Wed Aug  6 16:54:54 2014  Debug: Header  44 bytes 
Wed Aug  6 16:54:54 2014  Debug: ... "distance"  complete 
Wed Aug  6 16:54:54 2014  Debug: loading  "/home/asve/dev/rinf-gui/voice/ru/gps_signal_lost.wav" 
Wed Aug  6 16:54:54 2014  Debug: Header  44 bytes 
Wed Aug  6 16:54:54 2014  Debug: ... "gps_signal_lost"  complete 
Wed Aug  6 16:54:54 2014  Debug: loading  "/home/asve/dev/rinf-gui/voice/ru/gps_signal_online.wav" 
Wed Aug  6 16:54:54 2014  Debug: Header  44 bytes 
Wed Aug  6 16:54:54 2014  Debug: ... "gps_signal_online"  complete 
Wed Aug  6 16:54:54 2014  Debug: loading  "/home/asve/dev/rinf-gui/voice/ru/kmeter1.wav" 
Wed Aug  6 16:54:54 2014  Debug: Header  44 bytes 
Wed Aug  6 16:54:54 2014  Debug: ... "kmeter1"  complete 
Wed Aug  6 16:54:54 2014  Debug: loading  "/home/asve/dev/rinf-gui/voice/ru/kmeter2.wav" 
Wed Aug  6 16:54:54 2014  Debug: Header  44 bytes 
Wed Aug  6 16:54:54 2014  Debug: ... "kmeter2"  complete 
Wed Aug  6 16:54:54 2014  Debug: loading  "/home/asve/dev/rinf-gui/voice/ru/kmeter3.wav" 
Wed Aug  6 16:54:54 2014  Debug: Header  44 bytes 
Wed Aug  6 16:54:54 2014  Debug: ... "kmeter3"  complete 
Wed Aug  6 16:54:54 2014  Debug: loading  "/home/asve/dev/rinf-gui/voice/ru/kmph1.wav" 
Wed Aug  6 16:54:54 2014  Debug: Header  44 bytes 
Wed Aug  6 16:54:54 2014  Debug: ... "kmph1"  complete 
Wed Aug  6 16:54:54 2014  Debug: loading  "/home/asve/dev/rinf-gui/voice/ru/kmph2.wav" 
Wed Aug  6 16:54:54 2014  Debug: Header  44 bytes 
Wed Aug  6 16:54:54 2014  Debug: ... "kmph2"  complete 
Wed Aug  6 16:54:54 2014  Debug: loading  "/home/asve/dev/rinf-gui/voice/ru/kmph3.wav" 
Wed Aug  6 16:54:54 2014  Debug: Header  44 bytes 
Wed Aug  6 16:54:54 2014  Debug: ... "kmph3"  complete 
Wed Aug  6 16:54:54 2014  Debug: loading  "/home/asve/dev/rinf-gui/voice/ru/kmpspeed_control.wav" 
Wed Aug  6 16:54:54 2014  Debug: Header  44 bytes 
Wed Aug  6 16:54:54 2014  Debug: ... "kmpspeed_control"  complete 
Wed Aug  6 16:54:54 2014  Debug: loading  "/home/asve/dev/rinf-gui/voice/ru/language.wav" 
Wed Aug  6 16:54:54 2014  Debug: Header  44 bytes 
Wed Aug  6 16:54:54 2014  Debug: ... "language"  complete 
Wed Aug  6 16:54:54 2014  Debug: loading  "/home/asve/dev/rinf-gui/voice/ru/less1.wav" 
Wed Aug  6 16:54:54 2014  Debug: Header  44 bytes 
Wed Aug  6 16:54:54 2014  Debug: ... "less1"  complete 
Wed Aug  6 16:54:54 2014  Debug: loading  "/home/asve/dev/rinf-gui/voice/ru/less10.wav" 
Wed Aug  6 16:54:54 2014  Debug: Header  44 bytes 
Wed Aug  6 16:54:54 2014  Debug: ... "less10"  complete 
Wed Aug  6 16:54:54 2014  Debug: loading  "/home/asve/dev/rinf-gui/voice/ru/less11.wav" 
Wed Aug  6 16:54:54 2014  Debug: Header  44 bytes 
Wed Aug  6 16:54:54 2014  Debug: ... "less11"  complete 
Wed Aug  6 16:54:54 2014  Debug: loading  "/home/asve/dev/rinf-gui/voice/ru/less12.wav" 
Wed Aug  6 16:54:54 2014  Debug: Header  44 bytes 
Wed Aug  6 16:54:54 2014  Debug: ... "less12"  complete 
Wed Aug  6 16:54:54 2014  Debug: loading  "/home/asve/dev/rinf-gui/voice/ru/less13.wav" 
Wed Aug  6 16:54:54 2014  Debug: Header  44 bytes 
Wed Aug  6 16:54:54 2014  Debug: ... "less13"  complete 
Wed Aug  6 16:54:54 2014  Debug: loading  "/home/asve/dev/rinf-gui/voice/ru/less14.wav" 
Wed Aug  6 16:54:54 2014  Debug: Header  44 bytes 
Wed Aug  6 16:54:54 2014  Debug: ... "less14"  complete 
Wed Aug  6 16:54:54 2014  Debug: loading  "/home/asve/dev/rinf-gui/voice/ru/less15.wav" 
Wed Aug  6 16:54:54 2014  Debug: Header  44 bytes 
Wed Aug  6 16:54:54 2014  Debug: ... "less15"  complete 
Wed Aug  6 16:54:54 2014  Debug: loading  "/home/asve/dev/rinf-gui/voice/ru/less16.wav" 
Wed Aug  6 16:54:54 2014  Debug: Header  44 bytes 
Wed Aug  6 16:54:54 2014  Debug: ... "less16"  complete 
Wed Aug  6 16:54:54 2014  Debug: loading  "/home/asve/dev/rinf-gui/voice/ru/less17.wav" 
Wed Aug  6 16:54:54 2014  Debug: Header  44 bytes 
Wed Aug  6 16:54:54 2014  Debug: ... "less17"  complete 
Wed Aug  6 16:54:54 2014  Debug: loading  "/home/asve/dev/rinf-gui/voice/ru/less18.wav" 
Wed Aug  6 16:54:54 2014  Debug: Header  44 bytes 
Wed Aug  6 16:54:54 2014  Debug: ... "less18"  complete 
Wed Aug  6 16:54:54 2014  Debug: loading  "/home/asve/dev/rinf-gui/voice/ru/less19.wav" 
Wed Aug  6 16:54:54 2014  Debug: Header  44 bytes 
Wed Aug  6 16:54:54 2014  Debug: ... "less19"  complete 
Wed Aug  6 16:54:54 2014  Debug: loading  "/home/asve/dev/rinf-gui/voice/ru/less2.wav" 
Wed Aug  6 16:54:54 2014  Debug: Header  44 bytes 
Wed Aug  6 16:54:54 2014  Debug: ... "less2"  complete 
Wed Aug  6 16:54:54 2014  Debug: loading  "/home/asve/dev/rinf-gui/voice/ru/less20.wav" 
Wed Aug  6 16:54:54 2014  Debug: Header  44 bytes 
Wed Aug  6 16:54:54 2014  Debug: ... "less20"  complete 
Wed Aug  6 16:54:54 2014  Debug: loading  "/home/asve/dev/rinf-gui/voice/ru/less3.wav" 
Wed Aug  6 16:54:54 2014  Debug: Header  44 bytes 
Wed Aug  6 16:54:54 2014  Debug: ... "less3"  complete 
Wed Aug  6 16:54:54 2014  Debug: loading  "/home/asve/dev/rinf-gui/voice/ru/less4.wav" 
Wed Aug  6 16:54:54 2014  Debug: Header  44 bytes 
Wed Aug  6 16:54:54 2014  Debug: ... "less4"  complete 
Wed Aug  6 16:54:54 2014  Debug: loading  "/home/asve/dev/rinf-gui/voice/ru/less5.wav" 
Wed Aug  6 16:54:54 2014  Debug: Header  44 bytes 
Wed Aug  6 16:54:54 2014  Debug: ... "less5"  complete 
Wed Aug  6 16:54:54 2014  Debug: loading  "/home/asve/dev/rinf-gui/voice/ru/less6.wav" 
Wed Aug  6 16:54:54 2014  Debug: Header  44 bytes 
Wed Aug  6 16:54:54 2014  Debug: ... "less6"  complete 
Wed Aug  6 16:54:54 2014  Debug: loading  "/home/asve/dev/rinf-gui/voice/ru/less7.wav" 
Wed Aug  6 16:54:54 2014  Debug: Header  44 bytes 
Wed Aug  6 16:54:54 2014  Debug: ... "less7"  complete 
Wed Aug  6 16:54:54 2014  Debug: loading  "/home/asve/dev/rinf-gui/voice/ru/less8.wav" 
Wed Aug  6 16:54:54 2014  Debug: Header  44 bytes 
Wed Aug  6 16:54:54 2014  Debug: ... "less8"  complete 
Wed Aug  6 16:54:54 2014  Debug: loading  "/home/asve/dev/rinf-gui/voice/ru/less9.wav" 
Wed Aug  6 16:54:54 2014  Debug: Header  44 bytes 
Wed Aug  6 16:54:54 2014  Debug: ... "less9"  complete 
Wed Aug  6 16:54:54 2014  Debug: loading  "/home/asve/dev/rinf-gui/voice/ru/limit.wav" 
Wed Aug  6 16:54:54 2014  Debug: Header  44 bytes 
Wed Aug  6 16:54:54 2014  Debug: ... "limit"  complete 
Wed Aug  6 16:54:54 2014  Debug: loading  "/home/asve/dev/rinf-gui/voice/ru/line_control.wav" 
Wed Aug  6 16:54:54 2014  Debug: Header  44 bytes 
Wed Aug  6 16:54:54 2014  Debug: ... "line_control"  complete 
Wed Aug  6 16:54:54 2014  Debug: loading  "/home/asve/dev/rinf-gui/voice/ru/meter1.wav" 
Wed Aug  6 16:54:54 2014  Debug: Header  44 bytes 
Wed Aug  6 16:54:54 2014  Debug: ... "meter1"  complete 
Wed Aug  6 16:54:54 2014  Debug: loading  "/home/asve/dev/rinf-gui/voice/ru/meter2.wav" 
Wed Aug  6 16:54:54 2014  Debug: Header  44 bytes 
Wed Aug  6 16:54:54 2014  Debug: ... "meter2"  complete 
Wed Aug  6 16:54:54 2014  Debug: loading  "/home/asve/dev/rinf-gui/voice/ru/meter3.wav" 
Wed Aug  6 16:54:54 2014  Debug: Header  44 bytes 
Wed Aug  6 16:54:54 2014  Debug: ... "meter3"  complete 
Wed Aug  6 16:54:54 2014  Debug: loading  "/home/asve/dev/rinf-gui/voice/ru/over_speed_limit.wav" 
Wed Aug  6 16:54:54 2014  Debug: Header  44 bytes 
Wed Aug  6 16:54:54 2014  Debug: ... "over_speed_limit"  complete 
Wed Aug  6 16:54:54 2014  Debug: loading  "/home/asve/dev/rinf-gui/voice/ru/over_speed_limit2.wav" 
Wed Aug  6 16:54:54 2014  Debug: Header  44 bytes 
Wed Aug  6 16:54:54 2014  Debug: ... "over_speed_limit2"  complete 
Wed Aug  6 16:54:54 2014  Debug: loading  "/home/asve/dev/rinf-gui/voice/ru/speed.wav" 
Wed Aug  6 16:54:54 2014  Debug: Header  44 bytes 
Wed Aug  6 16:54:54 2014  Debug: ... "speed"  complete 
Wed Aug  6 16:54:54 2014  Debug: loading  "/home/asve/dev/rinf-gui/voice/ru/speed_control.wav" 
Wed Aug  6 16:54:54 2014  Debug: Header  44 bytes 
Wed Aug  6 16:54:54 2014  Debug: ... "speed_control"  complete 
Wed Aug  6 16:54:54 2014  Debug: loading  "/home/asve/dev/rinf-gui/voice/ru/speed_limit.wav" 
Wed Aug  6 16:54:54 2014  Debug: Header  44 bytes 
